participant_id,test_order,fsm_number,timestamp,q_estimate,q_stategy_chkbox-familiarity,q_stategy_chkbox-guess,q_stategy_chkbox-intuition,q_stategy_chkbox-recall,q_stategy_chkbox-rule,q_stategy_chkbox-other,q_strategy,subject_age,subject_sex,subject_ethnicity,subject_timeTaken,fsm_type
1,CEP,21.0,2023-07-26T18:45:14.569Z,15.0,1.0,0.0,1.0,0.0,0.0,0.0,I think that the thumbs up response makes the chatbot respond with the same emoji and the heart resets the pattern.,24,Female,Mixed,667.0,easy
2,ECP,21.0,2023-07-26T18:50:34.478Z,15.0,0.0,0.0,1.0,1.0,0.0,0.0,"vary the pattern of heart or thumbs up more, and pay attention to emojis before the last message",24,Female,Asian,574.0,easy
3,ECP,21.0,2023-07-26T18:54:38.816Z,20.0,1.0,0.0,1.0,0.0,0.0,0.0,Try to use different combinations of responses during the test phase.,31,Female,Asian,611.0,easy
4,EPC,21.0,2023-07-26T18:58:02.508Z,15.0,0.0,0.0,0.0,0.0,1.0,0.0,Just pay attention and you will get the hang of it.,25,Female,Black,784.0,easy
5,CEP,21.0,2023-07-26T19:00:12.953Z,15.0,1.0,0.0,0.0,0.0,0.0,0.0,I tried to become familiar with the chat bot responses and how it most often responded to either emoji. ,31,Female,White,626.0,easy
6,PEC,21.0,2023-07-26T19:02:05.902Z,20.0,1.0,0.0,0.0,1.0,1.0,0.0,I would recommend for my friend to pay attention in the learning phase and rely off of what they learned and their memory.,44,Female,Asian,605.0,easy
7,ECP,21.0,2023-07-26T19:17:05.534Z,15.0,1.0,0.0,1.0,0.0,1.0,0.0,Pay attention to what pattern is happening,22,Female,White,532.0,easy
8,CEP,21.0,2023-07-26T19:15:06.772Z,20.0,1.0,0.0,1.0,0.0,1.0,0.0,"Try various combinations during the learning phase until a pattern emerges, then try duplicating those combos to confirm your assumptions",38,Female,White,789.0,easy
9,EPC,21.0,2023-07-26T19:20:09.857Z,15.0,1.0,0.0,0.0,0.0,0.0,0.0,I would tell them to pay close attention to patterns in the learning phase. It seemed that there were patterns the chatbox used in responses but I couldn't exactly remember what they were.,23,Female,Black,996.0,easy
10,PCE,21.0,2023-07-26T19:26:59.458Z,20.0,0.0,0.0,0.0,0.0,1.0,0.0,"Establish a sequence of patterns to test among the two inputs early, so that you don't waste attempts repeating an overall input.",22,Male,Asian,640.0,easy
11,CEP,21.0,2023-07-26T19:24:49.155Z,20.0,0.0,0.0,1.0,1.0,0.0,0.0,if you use thumb up emoji the ai bot responds with a surprised face most of the time. if you respond with a heart emoji you get a random set of like 5 other emojis,44,Female,White,740.0,easy
12,ECP,21.0,2023-07-26T19:28:19.323Z,15.0,0.0,0.0,1.0,0.0,0.0,0.0,"During the learning phase try to do different patterns of responses and see how that changes the chat. Then, rely on your intuition if you don't see a pattern.",20,Female,White,646.0,easy
13,PEC,21.0,2023-07-26T19:24:30.718Z,20.0,0.0,1.0,1.0,1.0,1.0,0.0,"Chatbot will cycle through the emotions if heart is entered continuously.
Thumb-up has a chance of repeating emotion, usually the surprised face. Keep entering thumb-up usually result in repeat of same emoji.

",35,Female,Asian,1121.0,easy
14,CPE,21.0,2023-07-26T19:33:46.508Z,25.0,1.0,0.0,0.0,1.0,0.0,0.0,I will tell him not to record but try to understand.,24,Male,White,624.0,easy
15,ECP,21.0,2023-07-26T19:34:52.001Z,20.0,0.0,0.0,1.0,1.0,1.0,0.0,repeat the same emoji a few times with each and see how the bot responds to repeats and then mix them up to find different reactions.,22,Male,White,602.0,easy
16,EPC,21.0,2023-07-26T19:35:30.549Z,20.0,1.0,0.0,0.0,1.0,1.0,0.0,Try different combinations of hearts and thumbs-up during the familiarity phase and see if you can figure out a pattern.  Then remember those during the question phase.,34,Female,White,718.0,easy
17,EPC,21.0,2023-07-26T19:40:01.337Z,25.0,0.0,0.0,0.0,0.0,1.0,0.0,"Test out one emoji response for a bit and pay attention and then test out the other emoji for a bit and then mix it up
",20,Male,Other,470.0,easy
18,PCE,21.0,2023-07-26T19:39:26.735Z,20.0,1.0,0.0,1.0,1.0,0.0,0.0,"I tried to see a pattern in the responses, but did not quite figure out all the triggers.",28,Male,White,541.0,easy
19,PEC,21.0,2023-07-26T19:52:32.954Z,25.0,0.0,0.0,0.0,0.0,1.0,0.0,The thumbs up emoji seems to cause the shocked expression. The heart emoji seems to cycle through all expressions.,36,Male,Asian,715.0,easy
20,CEP,21.0,2023-07-26T19:56:55.053Z,15.0,0.0,0.0,1.0,0.0,1.0,0.0,"Focus on which message changes the chatbot's response as opposed to looping it.
",20,Male,Other,486.0,easy
21,PEC,21.0,2023-07-26T20:00:35.608Z,20.0,1.0,1.0,0.0,1.0,0.0,0.0,Look for the pattern and pay attention to which emojis get which response.,30,Female,White,511.0,easy
22,ECP,21.0,2023-07-26T19:57:24.640Z,20.0,1.0,1.0,1.0,1.0,1.0,0.0,Look at which faces make which emoji reaction.,26,Female,White,745.0,easy
23,EPC,21.0,2023-07-26T19:59:53.387Z,,0.0,0.0,1.0,1.0,0.0,0.0,Count the number of times each response was used and the messaged that triggered them the most.,28,Male,Black,821.0,easy
24,EPC,21.0,2023-07-26T20:05:44.516Z,20.0,0.0,1.0,1.0,0.0,1.0,0.0,"I would tell themt to find the patterns and memorize them, especially with regards to the heart emoji.",28,Female,White,892.0,easy
25,CPE,21.0,2023-07-26T20:05:51.756Z,20.0,0.0,0.0,0.0,1.0,1.0,0.0,Notice how a certain emoji causes the chatbot to either send a different emoji (from the previous one) or repeat its previous emoji. Also note which emojis the chatbot repeats.,34,Female,Asian,944.0,easy
26,ECP,21.0,2023-07-26T20:11:22.490Z,25.0,1.0,0.0,1.0,1.0,0.0,0.0,Try to find a pattern.,34,Male,White,608.0,easy
27,PEC,21.0,2023-07-26T20:08:46.766Z,15.0,0.0,0.0,0.0,1.0,0.0,0.0,take your time studying the responses in the learning phase,25,Female,Mixed,966.0,easy
28,PCE,21.0,2023-07-26T20:08:55.064Z,25.0,0.0,0.0,0.0,0.0,1.0,0.0,"I would tell them that the ""wow"" face doesnt change when you give a thumbs up. I would also tell them that the heart react usually changes the emoji response randomly ",30,Male,White,787.0,easy
29,EPC,21.0,2023-07-26T20:10:06.333Z,15.0,0.0,0.0,1.0,0.0,0.0,0.0,is to keep track of what you sent and how the chatbot responded,20,Male,White,723.0,easy
30,PCE,21.0,2023-07-26T20:17:27.177Z,20.0,1.0,0.0,0.0,0.0,0.0,0.0,Pay attention to how the chatbot responds as you change your responses. Go with your gut during the test phase. ,44,Male,White,523.0,easy
31,PEC,21.0,2023-07-26T20:17:54.182Z,25.0,0.0,0.0,0.0,1.0,1.0,0.0,"Use the 60 initial responses to memorize a pattern in the AI response. Certain emojis, as well as using them consecutively, will have a consistent and measurable outcome.",26,Male,White,602.0,easy
32,CEP,21.0,2023-07-26T20:15:56.728Z,25.0,1.0,0.0,0.0,1.0,0.0,0.0,Use your intuition when completing the tasks. Try to pay attention to how the chat bot responds to each emoji.,28,Female,White,1146.0,easy
33,PCE,21.0,2023-07-26T20:22:29.575Z,30.0,0.0,0.0,1.0,1.0,1.0,0.0,"There is a pattern, learn it",30,Male,Asian,495.0,easy
34,ECP,21.0,2023-07-26T20:28:47.139Z,15.0,1.0,0.0,1.0,0.0,1.0,0.0,"Be attentive in the first part because it's crucial to get that right. I think it's easiest when you take time with the first part. 


",19,Male,Asian,442.0,easy
35,CEP,21.0,2023-07-26T20:25:20.031Z,25.0,0.0,0.0,1.0,1.0,1.0,0.0,"I would advise that when using a thumbs up will most likely cause a shocked emoji and when doing it twice, it will continue to only do a shock emoji. If not done twice it will react with a different emoji. When using the blue emoji, it will never use a shocked emoji and instead will use any of the three other emojis.",21,Male,Mixed,703.0,easy
36,PEC,21.0,2023-07-26T20:26:50.519Z,15.0,1.0,0.0,1.0,0.0,1.0,0.0,Thumb's up seems to prompt it to repeat some of the faces while heart is more likely to make it change the response.,31,Male,Mixed,622.0,easy
