participant_id,fsm_number,timestamp,learning_counter,state_current,response_current,state_next,task,test_order,response_time,fsm_type
1,21.0,2023-07-26T18:46:07.927Z,2,0.0,a,2.0,chatbot-interaction-task-v6,CEP,2181,easy
1,21.0,2023-07-26T18:46:11.177Z,3,2.0,b,2.0,chatbot-interaction-task-v6,CEP,2018,easy
1,21.0,2023-07-26T18:46:16.798Z,4,2.0,b,2.0,chatbot-interaction-task-v6,CEP,4581,easy
1,21.0,2023-07-26T18:46:18.909Z,5,2.0,a,0.0,chatbot-interaction-task-v6,CEP,1090,easy
1,21.0,2023-07-26T18:46:23.179Z,6,0.0,a,2.0,chatbot-interaction-task-v6,CEP,3244,easy
1,21.0,2023-07-26T18:46:28.713Z,7,2.0,a,0.0,chatbot-interaction-task-v6,CEP,4517,easy
1,21.0,2023-07-26T18:46:32.079Z,8,0.0,b,2.0,chatbot-interaction-task-v6,CEP,2353,easy
1,21.0,2023-07-26T18:46:35.129Z,9,2.0,b,2.0,chatbot-interaction-task-v6,CEP,2031,easy
1,21.0,2023-07-26T18:46:37.961Z,10,2.0,a,3.0,chatbot-interaction-task-v6,CEP,1819,easy
1,21.0,2023-07-26T18:46:41.828Z,11,3.0,a,1.0,chatbot-interaction-task-v6,CEP,2664,easy
1,21.0,2023-07-26T18:46:45.164Z,12,1.0,a,0.0,chatbot-interaction-task-v6,CEP,2126,easy
1,21.0,2023-07-26T18:46:49.930Z,13,0.0,b,2.0,chatbot-interaction-task-v6,CEP,3747,easy
1,21.0,2023-07-26T18:46:53.031Z,14,2.0,a,0.0,chatbot-interaction-task-v6,CEP,2079,easy
1,21.0,2023-07-26T18:46:56.813Z,15,0.0,b,2.0,chatbot-interaction-task-v6,CEP,2768,easy
1,21.0,2023-07-26T18:47:01.478Z,16,2.0,b,2.0,chatbot-interaction-task-v6,CEP,3647,easy
1,21.0,2023-07-26T18:47:04.264Z,17,2.0,a,3.0,chatbot-interaction-task-v6,CEP,1744,easy
1,21.0,2023-07-26T18:47:10.614Z,18,3.0,a,1.0,chatbot-interaction-task-v6,CEP,5331,easy
1,21.0,2023-07-26T18:47:13.994Z,19,1.0,a,0.0,chatbot-interaction-task-v6,CEP,2359,easy
1,21.0,2023-07-26T18:47:16.312Z,20,0.0,a,2.0,chatbot-interaction-task-v6,CEP,1298,easy
1,21.0,2023-07-26T18:47:18.714Z,21,2.0,a,0.0,chatbot-interaction-task-v6,CEP,1387,easy
1,21.0,2023-07-26T18:47:25.830Z,22,0.0,b,2.0,chatbot-interaction-task-v6,CEP,6087,easy
1,21.0,2023-07-26T18:47:29.895Z,23,2.0,a,0.0,chatbot-interaction-task-v6,CEP,3048,easy
1,21.0,2023-07-26T18:47:36.360Z,24,0.0,b,2.0,chatbot-interaction-task-v6,CEP,5428,easy
1,21.0,2023-07-26T18:47:38.513Z,25,2.0,b,2.0,chatbot-interaction-task-v6,CEP,1146,easy
1,21.0,2023-07-26T18:47:40.310Z,26,2.0,b,2.0,chatbot-interaction-task-v6,CEP,787,easy
1,21.0,2023-07-26T18:47:42.229Z,27,2.0,b,2.0,chatbot-interaction-task-v6,CEP,901,easy
1,21.0,2023-07-26T18:47:44.478Z,28,2.0,b,2.0,chatbot-interaction-task-v6,CEP,1234,easy
1,21.0,2023-07-26T18:47:46.327Z,29,2.0,b,2.0,chatbot-interaction-task-v6,CEP,833,easy
1,21.0,2023-07-26T18:47:48.132Z,30,2.0,b,2.0,chatbot-interaction-task-v6,CEP,758,easy
1,21.0,2023-07-26T18:47:49.978Z,31,2.0,a,3.0,chatbot-interaction-task-v6,CEP,839,easy
1,21.0,2023-07-26T18:47:54.978Z,32,3.0,a,1.0,chatbot-interaction-task-v6,CEP,3980,easy
1,21.0,2023-07-26T18:47:57.127Z,33,1.0,b,0.0,chatbot-interaction-task-v6,CEP,1123,easy
1,21.0,2023-07-26T18:48:02.396Z,34,0.0,a,2.0,chatbot-interaction-task-v6,CEP,4249,easy
1,21.0,2023-07-26T18:48:04.937Z,35,2.0,b,2.0,chatbot-interaction-task-v6,CEP,1510,easy
1,21.0,2023-07-26T18:48:06.476Z,36,2.0,b,2.0,chatbot-interaction-task-v6,CEP,532,easy
1,21.0,2023-07-26T18:48:07.994Z,37,2.0,b,2.0,chatbot-interaction-task-v6,CEP,496,easy
1,21.0,2023-07-26T18:48:09.724Z,38,2.0,b,2.0,chatbot-interaction-task-v6,CEP,689,easy
1,21.0,2023-07-26T18:48:11.398Z,39,2.0,b,2.0,chatbot-interaction-task-v6,CEP,640,easy
1,21.0,2023-07-26T18:48:12.945Z,40,2.0,b,2.0,chatbot-interaction-task-v6,CEP,527,easy
1,21.0,2023-07-26T18:48:14.563Z,41,2.0,b,2.0,chatbot-interaction-task-v6,CEP,596,easy
1,21.0,2023-07-26T18:48:16.058Z,42,2.0,a,0.0,chatbot-interaction-task-v6,CEP,477,easy
1,21.0,2023-07-26T18:48:20.898Z,43,0.0,b,2.0,chatbot-interaction-task-v6,CEP,3804,easy
1,21.0,2023-07-26T18:48:25.113Z,44,2.0,a,3.0,chatbot-interaction-task-v6,CEP,3183,easy
1,21.0,2023-07-26T18:48:28.579Z,45,3.0,b,3.0,chatbot-interaction-task-v6,CEP,2452,easy
1,21.0,2023-07-26T18:48:31.447Z,46,3.0,b,3.0,chatbot-interaction-task-v6,CEP,1849,easy
1,21.0,2023-07-26T18:48:33.362Z,47,3.0,b,3.0,chatbot-interaction-task-v6,CEP,895,easy
1,21.0,2023-07-26T18:48:35.095Z,48,3.0,b,3.0,chatbot-interaction-task-v6,CEP,722,easy
1,21.0,2023-07-26T18:48:36.842Z,49,3.0,a,0.0,chatbot-interaction-task-v6,CEP,723,easy
1,21.0,2023-07-26T18:48:41.981Z,50,0.0,a,2.0,chatbot-interaction-task-v6,CEP,4102,easy
1,21.0,2023-07-26T18:48:43.979Z,51,2.0,a,3.0,chatbot-interaction-task-v6,CEP,981,easy
1,21.0,2023-07-26T18:48:45.896Z,52,3.0,a,0.0,chatbot-interaction-task-v6,CEP,895,easy
1,21.0,2023-07-26T18:48:47.760Z,53,0.0,a,2.0,chatbot-interaction-task-v6,CEP,852,easy
