participant_id,fsm_number,fsm_type,test_order,test1,test2,test3,trial_number,test_condition,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an
1,21.0,easy,CEP,control,explanation,prediction,1,explanation,visible,0.0,a,2.0,a,0.0,,,2,1,0.0,5658.98699998809,0.538142208934175,5.2594208225176764e-05,1.8528651667113845,0.0,,,,
1,21.0,easy,CEP,control,explanation,prediction,1,explanation,hidden,3.0,b,,a,0.0,,,2,2,1.0,3844.0739999642246,0.599076541916271,0.0003325629049567399,1.9412699409018936,0.0,0.9985029940119762,0.00016655562958027982,2.39486926058346,0.0
1,21.0,easy,CEP,control,explanation,prediction,2,explanation,visible,3.0,a,1.0,a,0.0,,,1,2,0.0,1434.9349999523256,0.00016630629480545906,0.5979282311202831,1.9412844091531045,0.0,,,,
1,21.0,easy,CEP,control,explanation,prediction,2,explanation,hidden,0.0,a,,a,0.0,,,2,2,1.0,1484.960000000021,0.5383418876385674,0.0002187036824719523,1.851519179128185,0.0,0.5383728083666564,5.262050094716902e-05,1.8532261992175925,0.0
1,21.0,easy,CEP,control,explanation,prediction,3,explanation,visible,0.0,b,2.0,b,2.0,,,2,2,1.0,5212.908999976178,0.9993425504865837,7.68664774938116e-05,2.3965290432363533,0.0,,,,
1,21.0,easy,CEP,control,explanation,prediction,3,explanation,hidden,3.0,a,,b,2.0,,,1,2,0.0,732.0399999761721,0.0004996519255286808,0.39997960597226073,1.6044130454693004,0.0,0.00016655562958027982,0.0004990019960079841,0.003313440278630421,0.0
1,21.0,easy,CEP,control,explanation,prediction,4,explanation,visible,0.0,b,2.0,a,3.0,,,2,1,0.0,5758.021999999997,0.46124280982779653,5.259796218319965e-05,1.7244576006460302,0.0,,,,
1,21.0,easy,CEP,control,explanation,prediction,4,explanation,hidden,3.0,a,,a,2.0,,,1,2,0.0,596.1899999761372,0.00036630860127195543,0.4005059893787388,1.6067929862339927,0.0,0.00019984012789768185,0.0009960159362549805,0.007914476768016928,0.0
1,21.0,easy,CEP,control,explanation,prediction,5,explanation,visible,0.0,b,2.0,a,0.0,,,2,2,1.0,4730.939999976137,0.5381038013005172,5.259796218319965e-05,1.8528049407429767,0.0,,,,
1,21.0,easy,CEP,control,explanation,prediction,5,explanation,hidden,2.0,b,,b,2.0,,,2,2,1.0,1986.2139999761712,0.5382960337947982,0.00012951825775495273,1.8523376480017304,0.0,0.999571673329526,7.689941556444171e-05,2.3967371104538406,0.0
2,21.0,easy,ECP,explanation,control,prediction,1,explanation,visible,2.0,a,0.0,b,2.0,,,1,2,0.0,7330.308999856963,0.00012484392169549594,0.5711654284301704,1.9025978001672326,0.0,,,,
2,21.0,easy,ECP,explanation,control,prediction,1,explanation,hidden,3.0,b,,a,0.0,,,2,1,0.0,10313.153999809265,0.6655754686225243,0.00016653832911066915,2.03379361353012,0.0,0.9985029940119762,8.330556481172943e-05,2.3957007225287326,0.0
2,21.0,easy,ECP,explanation,control,prediction,2,explanation,visible,0.0,a,2.0,b,2.0,,,2,2,1.0,3696.5439999999935,0.9988762174856627,7.138675520937014e-05,2.396159517251052,0.0,,,,
2,21.0,easy,ECP,explanation,control,prediction,2,explanation,hidden,3.0,a,,b,2.0,,,1,2,0.0,6705.176000000007,0.0002498299657983425,0.3335104405352793,1.4642505101268648,0.0,8.330556481172943e-05,0.0004990019960079841,0.004144902223903118,0.0
2,21.0,easy,ECP,explanation,control,prediction,3,explanation,visible,0.0,a,2.0,a,0.0,,,2,2,1.0,10634.045999856957,0.570908686429252,0.00012490006496152165,1.9022146346274682,0.0,,,,
