fsm_type,test_condition,trial_type,coef,0.025,0.975,SE,z,p,LL,LL_an,LL_comparison,LL_diff
easy,control,"Hidden
Normative",0.24,0.15,0.34,0.05,4.94,0.0,-403.32,-245.47,AN,157.85
easy,explanation,"Hidden
Normative",0.19,0.1,0.28,0.05,4.17,0.0,-407.02,-347.16,AN,59.85999999999996
easy,prediction,"Hidden
Normative",0.21,0.1,0.31,0.05,3.92,0.0,-397.66,-201.98,AN,195.68000000000004
easy,control,Visible,0.63,0.53,0.73,0.05,12.75,0.0,-314.38,,,
easy,explanation,Visible,0.1,0.02,0.19,0.04,2.46,0.014,-411.45,,,
easy,prediction,Visible,0.61,0.51,0.7,0.05,12.82,0.0,-302.74,,,
hard,control,"Hidden
Normative",0.23,0.12,0.34,0.06,4.19,0.0,-402.8,-241.59,AN,161.21
hard,explanation,"Hidden
Normative",0.06,-0.05,0.17,0.06,1.08,0.282,-414.61,-219.14,AN,195.47000000000003
hard,prediction,"Hidden
Normative",0.25,0.15,0.35,0.05,4.73,0.0,-400.22,-270.66,AN,129.56
hard,control,Visible,0.4,0.3,0.49,0.05,8.39,0.0,-375.83,,,
hard,explanation,Visible,0.13,0.02,0.23,0.05,2.42,0.015,-406.69,,,
hard,prediction,Visible,0.08,-0.0,0.16,0.04,1.87,0.061,-404.42,,,
easy,prediction,"Hidden
AN",0.18,0.05,0.31,0.06,2.76,0.006,,-201.98,,
easy,control,"Hidden
AN",0.2,0.09,0.31,0.05,3.65,0.0,,-245.47,,
easy,explanation,"Hidden
AN",0.27,0.19,0.36,0.04,6.21,0.0,,-347.16,,
hard,prediction,"Hidden
AN",0.25,0.15,0.35,0.05,4.7,0.0,,-270.66,,
hard,control,"Hidden
AN",0.31,0.19,0.44,0.07,4.81,0.0,,-241.59,,
hard,explanation,"Hidden
AN",0.27,0.15,0.38,0.06,4.45,0.0,,-219.14,,
