participant_id,fsm_type,task,test_order,trial_type,max_beta
1,easy,control,CEP,visible,1.0000000000000018
1,easy,control,CEP,hidden,1.0000000000000018
1,easy,control,CEP,hidden_an,1.0000000000000018
1,easy,explanation,CEP,visible,-0.06499999999999917
1,easy,explanation,CEP,hidden,0.16000000000000103
1,easy,explanation,CEP,hidden_an,1.0000000000000018
1,easy,prediction,CEP,visible,0.07000000000000095
1,easy,prediction,CEP,hidden,-0.0999999999999992
1,easy,prediction,CEP,hidden_an,-0.014999999999999125
2,easy,control,ECP,visible,0.06500000000000083
2,easy,control,ECP,hidden,0.09000000000000097
2,easy,control,ECP,hidden_an,-0.14999999999999925
2,easy,explanation,ECP,visible,-0.049999999999999156
2,easy,explanation,ECP,hidden,0.1250000000000009
2,easy,explanation,ECP,hidden_an,0.22000000000000108
2,easy,prediction,ECP,visible,-0.28499999999999936
2,easy,prediction,ECP,hidden,0.4500000000000013
2,easy,prediction,ECP,hidden_an,1.0000000000000018
3,easy,control,ECP,visible,0.06000000000000094
3,easy,control,ECP,hidden,0.20000000000000107
3,easy,control,ECP,hidden_an,1.0000000000000018
3,easy,explanation,ECP,visible,0.3500000000000012
3,easy,explanation,ECP,hidden,0.130000000000001
3,easy,explanation,ECP,hidden_an,0.28000000000000114
3,easy,prediction,ECP,visible,1.0000000000000018
3,easy,prediction,ECP,hidden,0.5050000000000012
3,easy,prediction,ECP,hidden_an,1.0000000000000018
4,easy,control,EPC,visible,0.28000000000000114
4,easy,control,EPC,hidden,0.020000000000000906
4,easy,control,EPC,hidden_an,0.09500000000000108
4,easy,explanation,EPC,visible,0.06500000000000083
4,easy,explanation,EPC,hidden,0.16000000000000103
4,easy,explanation,EPC,hidden_an,0.22000000000000108
4,easy,prediction,EPC,visible,0.28000000000000114
4,easy,prediction,EPC,hidden,0.3650000000000011
4,easy,prediction,EPC,hidden_an,0.11000000000000099
5,easy,control,CEP,visible,0.28500000000000103
5,easy,control,CEP,hidden,0.41500000000000137
5,easy,control,CEP,hidden_an,0.09500000000000108
5,easy,explanation,CEP,visible,0.09500000000000108
5,easy,explanation,CEP,hidden,-0.35999999999999943
5,easy,explanation,CEP,hidden_an,-0.2049999999999993
5,easy,prediction,CEP,visible,-0.15999999999999925
5,easy,prediction,CEP,hidden,1.0000000000000018
5,easy,prediction,CEP,hidden_an,1.0000000000000018
6,easy,control,PEC,visible,1.0000000000000018
6,easy,control,PEC,hidden,1.0000000000000018
6,easy,control,PEC,hidden_an,0.3450000000000011
6,easy,explanation,PEC,visible,1.0000000000000018
6,easy,explanation,PEC,hidden,0.3800000000000012
6,easy,explanation,PEC,hidden_an,0.41000000000000125
6,easy,prediction,PEC,visible,1.0000000000000018
6,easy,prediction,PEC,hidden,-0.25999999999999934
6,easy,prediction,PEC,hidden_an,-1.0
8,easy,control,CEP,visible,1.0000000000000018
8,easy,control,CEP,hidden,0.2300000000000011
8,easy,control,CEP,hidden_an,0.19000000000000106
8,easy,explanation,CEP,visible,1.0000000000000018
