participant_id,fsm_type,phase,feedback_condition,test_condition,trial_type,attempt,accuracy,phase_condition
1,easy,feedback,control,control,hidden,1.0,0.6666666666666666,feedback_control
1,easy,feedback,control,control,visible,1.0,0.8666666666666667,feedback_control
1,easy,transfer,control,explanation,hidden,,0.8,transfer_explanation
1,easy,transfer,control,explanation,visible,,0.4,transfer_explanation
1,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
1,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
2,easy,feedback,prediction,prediction,hidden,1.0,0.6666666666666666,feedback_prediction
2,easy,feedback,prediction,prediction,visible,3.0,0.8,feedback_prediction
2,easy,transfer,prediction,control,hidden,,0.5,transfer_control
2,easy,transfer,prediction,control,visible,,0.7,transfer_control
2,easy,transfer,prediction,explanation,hidden,,0.6,transfer_explanation
2,easy,transfer,prediction,explanation,visible,,0.3,transfer_explanation
3,easy,feedback,explanation,explanation,hidden,2.0,0.7333333333333333,feedback_explanation
3,easy,feedback,explanation,explanation,visible,2.0,0.7333333333333333,feedback_explanation
3,easy,transfer,explanation,control,hidden,,0.5,transfer_control
3,easy,transfer,explanation,control,visible,,0.5,transfer_control
3,easy,transfer,explanation,prediction,hidden,,0.6,transfer_prediction
3,easy,transfer,explanation,prediction,visible,,0.4,transfer_prediction
4,easy,feedback,prediction,prediction,hidden,2.0,0.8666666666666667,feedback_prediction
4,easy,feedback,prediction,prediction,visible,1.0,0.8666666666666667,feedback_prediction
4,easy,transfer,prediction,control,hidden,,0.6,transfer_control
4,easy,transfer,prediction,control,visible,,1.0,transfer_control
4,easy,transfer,prediction,explanation,hidden,,0.7,transfer_explanation
4,easy,transfer,prediction,explanation,visible,,0.6,transfer_explanation
5,easy,feedback,control,control,hidden,1.0,0.8,feedback_control
5,easy,feedback,control,control,visible,1.0,0.8666666666666667,feedback_control
5,easy,transfer,control,explanation,hidden,,0.4,transfer_explanation
5,easy,transfer,control,explanation,visible,,0.5,transfer_explanation
5,easy,transfer,control,prediction,hidden,,0.7,transfer_prediction
5,easy,transfer,control,prediction,visible,,0.7,transfer_prediction
6,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
6,easy,feedback,control,control,visible,1.0,0.9333333333333333,feedback_control
6,easy,transfer,control,explanation,hidden,,0.7,transfer_explanation
6,easy,transfer,control,explanation,visible,,0.3,transfer_explanation
6,easy,transfer,control,prediction,hidden,,0.7,transfer_prediction
6,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
7,easy,feedback,control,control,hidden,1.0,0.6666666666666666,feedback_control
7,easy,feedback,control,control,visible,2.0,1.0,feedback_control
