participant_id,fsm_number,test_condition_x,transfer_order_x,transfer_task_1_x,transfer_task_2_x,timestamp,learning_counter,state_current,response_current,state_next,task,test_condition_y,transfer_order_y,transfer_task_1_y,transfer_task_2_y,response_time,fsm_type
2,21.0,prediction,EC,explanation,control,2023-08-17T15:55:58.667Z,2,1.0,b,0.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,7498,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:02.366Z,3,0.0,a,2.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,2546,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:05.215Z,4,2.0,b,2.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,1693,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:07.431Z,5,2.0,b,2.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,1193,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:09.531Z,6,2.0,a,0.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,1078,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:12.380Z,7,0.0,a,2.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,1827,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:13.996Z,8,2.0,b,2.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,604,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:16.229Z,9,2.0,a,3.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,1210,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:18.028Z,10,3.0,b,3.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,643,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:22.310Z,11,3.0,a,1.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,3259,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:24.377Z,12,1.0,b,0.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,1047,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:25.660Z,13,0.0,a,2.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,271,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:26.976Z,14,2.0,b,2.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,298,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:28.542Z,15,2.0,a,0.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,545,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:30.142Z,16,0.0,a,2.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,581,easy
2,21.0,prediction,EC,explanation,control,2023-08-17T15:56:31.753Z,17,2.0,b,2.0,chatbot-interaction-task-v20230817b,prediction,EC,explanation,control,576,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:28.668Z,2,3.0,b,3.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,2638,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:32.401Z,3,3.0,b,3.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,2704,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:34.233Z,4,3.0,a,1.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,821,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:36.432Z,5,1.0,a,0.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,1038,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:38.450Z,6,0.0,a,2.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,854,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:40.349Z,7,2.0,a,0.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,721,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:41.867Z,8,0.0,a,2.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,504,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:43.533Z,9,2.0,a,0.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,654,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:45.051Z,10,0.0,b,2.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,504,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:46.500Z,11,2.0,b,2.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,437,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:47.797Z,12,2.0,b,2.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,287,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:49.034Z,13,2.0,b,2.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,221,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:50.184Z,14,2.0,b,2.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,138,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:51.647Z,15,2.0,a,0.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,454,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:53.249Z,16,0.0,b,2.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,588,easy
1,21.0,control,EP,explanation,prediction,2023-08-17T16:00:55.020Z,17,2.0,b,2.0,chatbot-interaction-task-v20230817b,control,EP,explanation,prediction,737,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:03:28.554Z,2,2.0,b,2.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,6194,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:03:31.112Z,3,2.0,a,0.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,1272,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:03:34.731Z,4,0.0,a,2.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,2116,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:03:39.960Z,5,2.0,b,2.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,3934,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:03:45.101Z,6,2.0,a,3.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,3826,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:03:49.993Z,7,3.0,b,3.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,3360,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:03:53.182Z,8,3.0,b,3.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,1912,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:03:55.831Z,9,3.0,b,3.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,1354,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:03:58.189Z,10,3.0,a,1.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,1046,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:04:00.620Z,11,1.0,a,0.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,907,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:04:02.978Z,12,0.0,a,2.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,1065,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:04:07.903Z,13,2.0,a,3.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,3628,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:04:11.899Z,14,3.0,b,3.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,2689,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:04:16.290Z,15,3.0,a,0.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,3082,easy
4,21.0,prediction,CE,control,explanation,2023-08-17T16:04:18.493Z,16,0.0,b,2.0,chatbot-interaction-task-v20230817b,prediction,CE,control,explanation,929,easy
