participant_id,fsm_type,task,feedback_condition,trial_type,max_beta
1,easy,control,control,visible,0.4350000000000014
1,easy,control,control,hidden,0.20000000000000107
1,easy,control,control,hidden_an,0.07000000000000095
1,easy,explanation,control,visible,-0.0999999999999992
1,easy,explanation,control,hidden,0.3850000000000011
1,easy,explanation,control,hidden_an,0.27500000000000124
1,easy,prediction,control,visible,0.28500000000000103
1,easy,prediction,control,hidden,-0.02999999999999914
1,easy,prediction,control,hidden_an,0.2500000000000011
2,easy,control,prediction,visible,0.2600000000000011
2,easy,control,prediction,hidden,-0.12499999999999922
2,easy,control,prediction,hidden_an,-1.0
2,easy,explanation,prediction,visible,-0.2099999999999993
2,easy,explanation,prediction,hidden,0.11000000000000099
2,easy,explanation,prediction,hidden_an,0.020000000000000906
2,easy,prediction,prediction,visible,0.3200000000000012
2,easy,prediction,prediction,hidden,0.29500000000000126
2,easy,prediction,prediction,hidden_an,1.0000000000000018
3,easy,control,explanation,visible,-0.01999999999999913
3,easy,control,explanation,hidden,0.10000000000000098
3,easy,control,explanation,hidden_an,0.3500000000000012
3,easy,explanation,explanation,visible,0.2400000000000011
3,easy,explanation,explanation,hidden,0.245000000000001
3,easy,explanation,explanation,hidden_an,0.2550000000000012
3,easy,prediction,explanation,visible,-0.11999999999999922
3,easy,prediction,explanation,hidden,0.05000000000000093
3,easy,prediction,explanation,hidden_an,0.015000000000001013
4,easy,control,prediction,visible,1.0000000000000018
4,easy,control,prediction,hidden,0.08000000000000096
4,easy,control,prediction,hidden_an,-0.07499999999999918
4,easy,explanation,prediction,visible,0.1250000000000009
4,easy,explanation,prediction,hidden,0.2350000000000012
4,easy,explanation,prediction,hidden_an,0.2500000000000011
4,easy,prediction,prediction,visible,0.4500000000000013
4,easy,prediction,prediction,hidden,0.40500000000000114
4,easy,prediction,prediction,hidden_an,0.17500000000000115
5,easy,control,control,visible,0.4550000000000014
5,easy,control,control,hidden,0.3400000000000012
5,easy,control,control,hidden_an,0.2300000000000011
5,easy,explanation,control,visible,-0.024999999999999134
5,easy,explanation,control,hidden,-0.06499999999999917
5,easy,explanation,control,hidden_an,0.04500000000000082
5,easy,prediction,control,visible,0.19500000000000117
5,easy,prediction,control,hidden,0.3600000000000012
5,easy,prediction,control,hidden_an,0.9150000000000018
6,easy,control,control,visible,0.7150000000000016
6,easy,control,control,hidden,0.245000000000001
6,easy,control,control,hidden_an,0.17500000000000115
6,easy,explanation,control,visible,-0.23999999999999932
6,easy,explanation,control,hidden,0.20500000000000096
6,easy,explanation,control,hidden_an,0.2500000000000011
6,easy,prediction,control,visible,0.28500000000000103
6,easy,prediction,control,hidden,0.32500000000000107
6,easy,prediction,control,hidden_an,0.030000000000000915
7,easy,control,control,visible,1.0000000000000018
7,easy,control,control,hidden,0.140000000000001
7,easy,control,control,hidden_an,0.10500000000000087
7,easy,explanation,control,visible,-0.2099999999999993
7,easy,explanation,control,hidden,0.020000000000000906
7,easy,explanation,control,hidden_an,0.020000000000000906
7,easy,prediction,control,visible,0.19500000000000117
7,easy,prediction,control,hidden,-0.05499999999999916
7,easy,prediction,control,hidden_an,0.030000000000000915
8,easy,control,explanation,visible,0.05500000000000105
8,easy,control,explanation,hidden,-0.004999999999999116
8,easy,control,explanation,hidden_an,0.10500000000000087
8,easy,explanation,explanation,visible,0.17000000000000104
8,easy,explanation,explanation,hidden,0.30500000000000105
8,easy,explanation,explanation,hidden_an,0.19500000000000117
8,easy,prediction,explanation,visible,0.20000000000000107
8,easy,prediction,explanation,hidden,0.40500000000000114
8,easy,prediction,explanation,hidden_an,0.9150000000000018
9,easy,control,prediction,visible,0.07000000000000095
9,easy,control,prediction,hidden,0.31000000000000116
9,easy,control,prediction,hidden_an,0.28500000000000103
9,easy,explanation,prediction,visible,-0.16499999999999926
9,easy,explanation,prediction,hidden,0.020000000000000906
9,easy,explanation,prediction,hidden_an,0.020000000000000906
9,easy,prediction,prediction,visible,0.140000000000001
9,easy,prediction,prediction,hidden,0.2150000000000012
9,easy,prediction,prediction,hidden_an,0.07000000000000095
10,easy,control,explanation,visible,0.17000000000000104
10,easy,control,explanation,hidden,0.16500000000000092
10,easy,control,explanation,hidden_an,0.07500000000000107
10,easy,explanation,explanation,visible,0.2400000000000011
10,easy,explanation,explanation,hidden,0.30500000000000105
10,easy,explanation,explanation,hidden_an,0.3200000000000012
10,easy,prediction,explanation,visible,0.05000000000000093
10,easy,prediction,explanation,hidden,-0.17999999999999927
10,easy,prediction,explanation,hidden_an,-0.24999999999999933
11,easy,control,control,visible,1.0000000000000018
11,easy,control,control,hidden,0.32500000000000107
11,easy,control,control,hidden_an,0.08000000000000096
11,easy,explanation,control,visible,0.0250000000000008
11,easy,explanation,control,hidden,0.130000000000001
11,easy,explanation,control,hidden_an,0.22000000000000108
11,easy,prediction,control,visible,0.4800000000000013
11,easy,prediction,control,hidden,0.4600000000000013
11,easy,prediction,control,hidden_an,0.18000000000000105
12,easy,control,prediction,visible,0.3400000000000012
12,easy,control,prediction,hidden,0.10000000000000098
12,easy,control,prediction,hidden_an,-0.11999999999999922
12,easy,explanation,prediction,visible,-0.07999999999999918
12,easy,explanation,prediction,hidden,0.020000000000000906
12,easy,explanation,prediction,hidden_an,-0.004999999999999116
12,easy,prediction,prediction,visible,0.28500000000000103
12,easy,prediction,prediction,hidden,0.18000000000000105
12,easy,prediction,prediction,hidden_an,0.18000000000000105
13,easy,control,explanation,visible,1.0000000000000018
13,easy,control,explanation,hidden,0.07500000000000107
13,easy,control,explanation,hidden_an,0.10500000000000087
13,easy,explanation,explanation,visible,0.6750000000000016
13,easy,explanation,explanation,hidden,0.30500000000000105
13,easy,explanation,explanation,hidden_an,0.3150000000000013
13,easy,prediction,explanation,visible,0.3400000000000012
13,easy,prediction,explanation,hidden,0.18000000000000105
13,easy,prediction,explanation,hidden_an,0.2500000000000011
14,easy,control,control,visible,1.0000000000000018
14,easy,control,control,hidden,0.5850000000000013
14,easy,control,control,hidden_an,0.5400000000000014
14,easy,explanation,control,visible,1.0000000000000018
14,easy,explanation,control,hidden,0.5700000000000014
14,easy,explanation,control,hidden_an,0.42000000000000126
14,easy,prediction,control,visible,1.0000000000000018
14,easy,prediction,control,hidden,1.0000000000000018
14,easy,prediction,control,hidden_an,0.9150000000000018
15,easy,control,prediction,visible,-0.01999999999999913
15,easy,control,prediction,hidden,-0.18499999999999928
15,easy,control,prediction,hidden_an,-0.1049999999999992
15,easy,explanation,prediction,visible,-0.18999999999999928
15,easy,explanation,prediction,hidden,0.11000000000000099
15,easy,explanation,prediction,hidden_an,0.10500000000000087
15,easy,prediction,prediction,visible,0.2400000000000011
15,easy,prediction,prediction,hidden,0.2550000000000012
15,easy,prediction,prediction,hidden_an,0.2500000000000011
16,easy,control,prediction,visible,0.005000000000000782
16,easy,control,prediction,hidden,0.130000000000001
16,easy,control,prediction,hidden_an,0.15000000000000102
16,easy,explanation,prediction,visible,0.3550000000000013
16,easy,explanation,prediction,hidden,0.005000000000000782
16,easy,explanation,prediction,hidden_an,-0.01999999999999913
16,easy,prediction,prediction,visible,0.15500000000000114
16,easy,prediction,prediction,hidden,0.30000000000000115
16,easy,prediction,prediction,hidden_an,0.4850000000000012
17,easy,control,control,visible,0.3200000000000012
17,easy,control,control,hidden,0.15500000000000114
17,easy,control,control,hidden_an,0.19000000000000106
17,easy,explanation,control,visible,0.3550000000000013
17,easy,explanation,control,hidden,0.6300000000000014
17,easy,explanation,control,hidden_an,1.0000000000000018
17,easy,prediction,control,visible,0.28500000000000103
17,easy,prediction,control,hidden,-0.3249999999999994
17,easy,prediction,control,hidden_an,-0.24999999999999933
18,easy,control,control,visible,1.0000000000000018
18,easy,control,control,hidden,0.20000000000000107
18,easy,control,control,hidden_an,0.05000000000000093
18,easy,explanation,control,visible,0.1250000000000009
18,easy,explanation,control,hidden,-0.08499999999999919
18,easy,explanation,control,hidden_an,-0.07999999999999918
18,easy,prediction,control,visible,0.4800000000000013
18,easy,prediction,control,hidden,-0.059999999999999165
18,easy,prediction,control,hidden_an,-0.02999999999999914
19,easy,control,explanation,visible,0.09000000000000097
19,easy,control,explanation,hidden,-0.02999999999999914
19,easy,control,explanation,hidden_an,0.10500000000000087
19,easy,explanation,explanation,visible,0.32500000000000107
19,easy,explanation,explanation,hidden,0.18500000000000094
19,easy,explanation,explanation,hidden_an,0.18000000000000105
19,easy,prediction,explanation,visible,0.265000000000001
19,easy,prediction,explanation,hidden,0.1150000000000011
19,easy,prediction,explanation,hidden_an,0.30500000000000105
20,easy,control,control,visible,0.5950000000000015
20,easy,control,control,hidden,0.31000000000000116
20,easy,control,control,hidden_an,0.3400000000000012
20,easy,explanation,control,visible,0.3800000000000012
20,easy,explanation,control,hidden,0.41500000000000137
20,easy,explanation,control,hidden_an,0.5200000000000014
20,easy,prediction,control,visible,0.08500000000000085
20,easy,prediction,control,hidden,0.1450000000000009
20,easy,prediction,control,hidden_an,-0.24999999999999933
21,easy,control,prediction,visible,0.37500000000000133
21,easy,control,prediction,hidden,0.005000000000000782
21,easy,control,prediction,hidden_an,-0.3499999999999994
21,easy,explanation,prediction,visible,-0.0999999999999992
21,easy,explanation,prediction,hidden,-0.014999999999999125
21,easy,explanation,prediction,hidden_an,-0.12499999999999922
21,easy,prediction,prediction,visible,0.27000000000000113
21,easy,prediction,prediction,hidden,0.42500000000000115
21,easy,prediction,prediction,hidden_an,0.5300000000000014
22,easy,control,prediction,visible,0.40500000000000114
22,easy,control,prediction,hidden,0.18500000000000094
22,easy,control,prediction,hidden_an,0.10500000000000087
22,easy,explanation,prediction,visible,0.3550000000000013
22,easy,explanation,prediction,hidden,0.3850000000000011
22,easy,explanation,prediction,hidden_an,0.4750000000000014
22,easy,prediction,prediction,visible,0.2550000000000012
22,easy,prediction,prediction,hidden,0.28000000000000114
22,easy,prediction,prediction,hidden_an,0.20000000000000107
23,easy,control,control,visible,1.0000000000000018
23,easy,control,control,hidden,0.28500000000000103
23,easy,control,control,hidden_an,0.18500000000000094
23,easy,explanation,control,visible,-0.16499999999999926
23,easy,explanation,control,hidden,-0.10999999999999921
23,easy,explanation,control,hidden_an,-0.1049999999999992
23,easy,prediction,control,visible,0.5850000000000013
23,easy,prediction,control,hidden,0.2150000000000012
23,easy,prediction,control,hidden_an,0.2500000000000011
24,easy,control,control,visible,0.30500000000000105
24,easy,control,control,hidden,0.2400000000000011
24,easy,control,control,hidden_an,0.3850000000000011
24,easy,explanation,control,visible,0.19000000000000106
24,easy,explanation,control,hidden,0.20500000000000096
24,easy,explanation,control,hidden_an,0.22000000000000108
24,easy,prediction,control,visible,-0.08499999999999919
24,easy,prediction,control,hidden,0.17500000000000115
24,easy,prediction,control,hidden_an,0.18000000000000105
25,easy,control,control,visible,-0.08999999999999919
25,easy,control,control,hidden,0.2600000000000011
25,easy,control,control,hidden_an,0.40500000000000114
25,easy,explanation,control,visible,0.10500000000000087
25,easy,explanation,control,hidden,0.005000000000000782
25,easy,explanation,control,hidden_an,-0.01999999999999913
25,easy,prediction,control,visible,0.2400000000000011
25,easy,prediction,control,hidden,-0.02999999999999914
