,beta_max,beta_lower,beta_higher,task,fsm_type,condition
0,0.11,0.065,0.155,explanation,easy,visible
0,0.115,0.07,0.165,explanation,easy,hidden
0,0.095,0.05,0.14,explanation,easy,hidden_an
0,0.055,0.0,0.11,explanation,hard,visible
0,0.0,0.0,0.05,explanation,hard,hidden
0,0.075,0.015,0.135,explanation,hard,hidden_an
0,0.3,0.25,0.35000000000000003,prediction,easy,visible
0,0.15,0.09,0.21,prediction,easy,hidden
0,0.13,0.06,0.195,prediction,easy,hidden_an
0,0.015,0.0,0.06,prediction,hard,visible
0,0.06,0.005,0.115,prediction,hard,hidden
0,0.09,0.035,0.145,prediction,hard,hidden_an
0,0.32,0.27,0.375,control,easy,visible
0,0.1,0.05,0.15,control,easy,hidden
0,0.085,0.03,0.14,control,easy,hidden_an
0,0.24,0.19,0.29,control,hard,visible
0,0.13,0.07,0.19,control,hard,hidden
0,0.135,0.075,0.195,control,hard,hidden_an
