fsm_type,test_condition,trial_type,coef,0.025,0.975,SE,z,p,LL,LL_an,LL_comparison,LL_diff
easy,control,"Hidden
Normative",0.2,0.11,0.3,0.05,4.18,0.0,-413.9,-401.18,AN,12.71999999999997
easy,explanation,"Hidden
Normative",0.23,0.14,0.32,0.05,5.12,0.0,-402.46,-404.44,Normative,-1.9800000000000182
easy,prediction,"Hidden
Normative",0.3,0.19,0.41,0.06,5.18,0.0,-374.25,-200.37,AN,173.88
easy,control,Visible,0.64,0.54,0.74,0.05,13.02,0.0,-316.46,,,
easy,explanation,Visible,0.22,0.13,0.3,0.04,4.99,0.0,-403.15,,,
easy,prediction,Visible,0.6,0.5,0.69,0.05,12.19,0.0,-320.1,,,
hard,control,"Hidden
Normative",0.26,0.15,0.37,0.06,4.67,0.0,-404.73,-349.51,AN,55.22000000000003
hard,explanation,"Hidden
Normative",-0.02,-0.13,0.09,0.06,-0.38,0.7,-422.75,-404.94,AN,17.810000000000002
hard,prediction,"Hidden
Normative",0.12,0.02,0.22,0.05,2.27,0.023,-414.69,-278.67,AN,136.01999999999998
hard,control,Visible,0.48,0.38,0.57,0.05,9.75,0.0,-362.78,,,
hard,explanation,Visible,0.11,0.01,0.22,0.05,2.14,0.033,-420.53,,,
hard,prediction,Visible,0.03,-0.05,0.11,0.04,0.71,0.475,-422.56,,,
easy,prediction,"Hidden
AN",0.26,0.13,0.38,0.06,3.99,0.0,,-200.37,,
easy,control,"Hidden
AN",0.17,0.06,0.27,0.05,3.14,0.002,,-401.18,,
easy,explanation,"Hidden
AN",0.19,0.11,0.28,0.04,4.43,0.0,,-404.44,,
hard,prediction,"Hidden
AN",0.18,0.08,0.28,0.05,3.49,0.0,,-278.67,,
hard,control,"Hidden
AN",0.27,0.15,0.38,0.06,4.59,0.0,,-349.51,,
hard,explanation,"Hidden
AN",0.15,0.04,0.27,0.06,2.56,0.01,,-404.94,,
