participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,experiment,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
1_1,hard,0,hidden,hard_c_hid_13-ab-ba,1,,,3.0,ab,ba,ab,ba,False,0.64,0.0,1,0.6991083289696123,0.00034961343859741915,2.0748362941605567,0.0,0.49983344437041977,0.00019984012789768185,1.789485430844661,0.0,control,,,,,
1_1,hard,1,hidden,hard_c_hid_21-ba-ab,2,,,1.0,ba,ab,ab,ab,True,0.36,0.6,1,0.4282697045856112,0.7138154668919463,0.432126683722809,1.0,0.5997202238209431,0.7140205596801827,0.15130504838176764,1.0,control,,,,,
1_1,hard,2,hidden,hard_c_hid_31-ba-bb,3,,,1.0,ba,bb,bb,bb,True,0.0,0.36,1,0.0002386863659573195,0.47595434202890863,1.7484741846299001,1.0,0.00012493753123438283,0.7140205596801827,2.0955668417953777,1.0,control,,,,,
1_1,hard,3,visible,hard_c_vis_0b3,0,b,3.0,3.0,a,b,b,b,True,0.0,0.4,1,0.00016655562958027982,0.3332778147901399,1.4645447700752117,1.0,,,,,control,,,,,
1_1,hard,4,visible,hard_c_vis_1a0,1,a,1.0,0.0,a,b,a,b,False,0.4,0.0,1,0.39988009592326135,0.00016655562958027982,1.6075339047269281,0.0,,,,,control,,,,,
1_1,hard,5,visible,hard_c_vis_3a2,3,a,2.0,2.0,a,b,a,a,True,1.0,0.0,1,0.9996251874062968,0.00014277555682467162,2.3961277387178126,1.0,,,,,control,,,,,
1_1,hard,6,visible,hard_c_vis_3b1,3,b,2.0,1.0,a,b,b,a,False,0.0,0.6,1,0.00012493753123438283,0.7140205596801827,2.0955668417953777,0.0,,,,,control,,,,,
1_1,hard,7,hidden,hard_c_hid_12-ab-ba,1,,,2.0,ab,ba,ba,ba,True,0.0,0.24,1,0.0004326275555335571,0.3333499593899741,1.4620584917513062,1.0,0.00016655562958027982,0.00019984012789768185,0.00033223633631522526,1.0,control,,,,,
1_1,hard,8,visible,hard_c_vis_2a2,2,a,2.0,2.0,a,b,a,a,True,1.0,0.0,1,0.9996251874062968,0.00014277555682467162,2.3961277387178126,1.0,,,,,control,,,,,
1_1,hard,9,hidden,hard_c_hid_03-aa-ab,0,,,3.0,aa,ab,ab,ab,True,0.0,0.4,1,0.00036624099936179426,0.33337746422450615,1.4627831844258983,1.0,0.00016655562958027982,0.3332778147901399,1.4645447700752117,1.0,control,,,,,
1_1,hard,10,hidden,hard_c_hid_00-aa-bb,0,,,0.0,aa,bb,aa,aa,True,0.4,0.0,1,0.3331579849398625,0.0003092002303502475,1.4628451048664286,1.0,0.3332778147901399,0.00016655562958027982,1.4645447700752119,1.0,control,,,,,
1_1,hard,11,visible,hard_c_vis_2a0,2,a,2.0,0.0,a,b,b,b,True,0.0,0.4,1,0.00012493753123438283,0.2856938892061679,1.348625240222501,1.0,,,,,control,,,,,
1_1,hard,12,hidden,hard_c_hid_23-ba-ab,2,,,3.0,ba,ab,ba,ba,True,0.4,0.0,1,0.2856653414741587,0.0003715594057129853,1.3460911081343407,1.0,0.00019984012789768185,0.00014277555682467162,0.0005696698370561387,1.0,control,,,,,
1_1,hard,13,visible,hard_c_vis_2a1,2,a,2.0,1.0,a,b,b,b,True,0.0,0.6,1,0.00012493753123438283,0.7140205596801827,2.0955668417953777,1.0,,,,,control,,,,,
1_1,hard,14,hidden,hard_c_hid_10-aa-bb,1,,,0.0,aa,bb,aa,bb,False,0.24,0.0,1,0.2399627199668169,0.00021416718520036898,1.2215263967119698,0.0,0.39988009592326135,0.00016655562958027982,1.6075339047269281,0.0,control,,,,,
1_1,hard,15,visible,hard_c_vis_1b3,1,b,1.0,3.0,a,b,b,a,False,0.0,0.4,1,0.00019984012789768185,0.49983344437041977,1.789485430844661,0.0,,,,,control,,,,,
1_1,hard,16,visible,hard_c_vis_0a0,0,a,3.0,0.0,a,b,a,a,True,0.4,0.0,1,0.3332778147901399,0.00016655562958027982,1.4645447700752119,1.0,,,,,control,,,,,
1_1,hard,17,hidden,hard_c_hid_13-aa-ba,1,,,3.0,aa,ba,aa,ba,False,0.4,0.0,1,0.399760266072984,0.00034961343859741915,1.605468292483331,0.0,0.00019984012789768185,0.00019984012789768185,0.0,,control,,,,,
