,beta_max,beta_lower,beta_higher,task,fsm_type,condition
0,0.11,0.075,0.14,explanation,easy,visible
0,0.115,0.08,0.15,explanation,easy,hidden
0,0.095,0.065,0.13,explanation,easy,hidden_an
0,0.055,0.015,0.095,explanation,hard,visible
0,0.0,0.0,0.035,explanation,hard,hidden
0,0.075,0.03,0.12,explanation,hard,hidden_an
0,0.3,0.26,0.335,prediction,easy,visible
0,0.15,0.105,0.195,prediction,easy,hidden
0,0.13,0.08,0.17500000000000002,prediction,easy,hidden_an
0,0.015,0.0,0.045,prediction,hard,visible
0,0.06,0.02,0.1,prediction,hard,hidden
0,0.09,0.05,0.13,prediction,hard,hidden_an
0,0.32,0.28500000000000003,0.36,control,easy,visible
0,0.1,0.065,0.135,control,easy,hidden
0,0.085,0.045,0.125,control,easy,hidden_an
0,0.24,0.2,0.275,control,hard,visible
0,0.13,0.09,0.17,control,hard,hidden
0,0.135,0.09,0.18,control,hard,hidden_an
