participant_id,task,condition,predicted_accuracy,fsm_number,fsm_type,mm_accuracy,count_nan,learning_condition
1,control,visible,0.6082590307465144,22.0,hard,0.6,0.0,Experiment 1 (no preview)
1,control,hidden,0.6899744811276124,22.0,hard,0.7,0.0,Experiment 1 (no preview)
1,control,hidden_an,0.6082590307465144,22.0,hard,0.75,2.0,Experiment 1 (no preview)
1,control,hidden_normative_subset,0.5890404340586651,22.0,hard,,,Experiment 1 (no preview)
1,control,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
2,prediction,visible,0.9873828393206613,21.0,easy,0.8,0.0,Experiment 1 (no preview)
2,prediction,hidden,0.5,21.0,easy,0.625,2.0,Experiment 1 (no preview)
2,prediction,hidden_an,0.6984652160025387,21.0,easy,,6.0,Experiment 1 (no preview)
2,prediction,hidden_normative_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
2,prediction,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
3,prediction,visible,0.7685247834990176,21.0,easy,0.7,0.0,Experiment 1 (no preview)
3,prediction,hidden,0.826353352980995,21.0,easy,0.8,0.0,Experiment 1 (no preview)
3,prediction,hidden_an,0.9873828393206613,21.0,easy,,5.0,Experiment 1 (no preview)
3,prediction,hidden_normative_subset,0.6364525402815663,21.0,easy,,,Experiment 1 (no preview)
3,prediction,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
4,explanation,visible,0.569546223939229,22.0,hard,0.5,0.0,Experiment 1 (no preview)
4,explanation,hidden,0.8145725807070178,22.0,hard,0.7,0.0,Experiment 1 (no preview)
4,explanation,hidden_an,0.9873828393206613,22.0,hard,0.8,0.0,Experiment 1 (no preview)
4,explanation,hidden_normative_subset,0.7824497764231125,22.0,hard,,,Experiment 1 (no preview)
4,explanation,hidden_an_subset,0.9873828393206613,22.0,hard,,,Experiment 1 (no preview)
5,prediction,visible,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
5,prediction,hidden,0.5,22.0,hard,0.2,0.0,Experiment 1 (no preview)
5,prediction,hidden_an,0.5,22.0,hard,0.5,4.0,Experiment 1 (no preview)
5,prediction,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
5,prediction,hidden_an_subset,0.9873828393206613,22.0,hard,,,Experiment 1 (no preview)
6,control,visible,0.6899744811276124,22.0,hard,0.7,0.0,Experiment 1 (no preview)
6,control,hidden,0.549833997312478,22.0,hard,0.5,0.0,Experiment 1 (no preview)
6,control,hidden_an,0.5,22.0,hard,0.375,2.0,Experiment 1 (no preview)
6,control,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
6,control,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
7,prediction,visible,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
7,prediction,hidden,0.5199893401555817,22.0,hard,0.5,0.0,Experiment 1 (no preview)
7,prediction,hidden_an,0.5,22.0,hard,0.42857142857142855,3.0,Experiment 1 (no preview)
7,prediction,hidden_normative_subset,0.5890404340586651,22.0,hard,,,Experiment 1 (no preview)
7,prediction,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
8,control,visible,0.8676111264579347,21.0,easy,0.8,0.0,Experiment 1 (no preview)
8,control,hidden,0.9873828393206613,21.0,easy,0.9,0.0,Experiment 1 (no preview)
8,control,hidden_an,0.7613327148429104,21.0,easy,0.4,0.0,Experiment 1 (no preview)
8,control,hidden_normative_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
8,control,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
9,explanation,visible,0.5,22.0,hard,0.5,0.0,Experiment 1 (no preview)
9,explanation,hidden,0.569546223939229,22.0,hard,0.5,0.0,Experiment 1 (no preview)
9,explanation,hidden_an,0.6364525402815663,22.0,hard,0.6,0.0,Experiment 1 (no preview)
9,explanation,hidden_normative_subset,0.6364525402815663,22.0,hard,,,Experiment 1 (no preview)
9,explanation,hidden_an_subset,0.731058578630005,22.0,hard,,,Experiment 1 (no preview)
10,prediction,visible,0.907207046882843,21.0,easy,0.9,0.0,Experiment 1 (no preview)
10,prediction,hidden,0.6726070170677604,21.0,easy,0.6,0.0,Experiment 1 (no preview)
10,prediction,hidden_an,0.5399148845555657,21.0,easy,,5.0,Experiment 1 (no preview)
10,prediction,hidden_normative_subset,0.8429045311145472,21.0,easy,,,Experiment 1 (no preview)
10,prediction,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
11,control,visible,0.9873828393206613,21.0,easy,1.0,0.0,Experiment 1 (no preview)
11,control,hidden,0.6899744811276124,21.0,easy,0.7,0.0,Experiment 1 (no preview)
11,control,hidden_an,0.5,21.0,easy,0.5,0.0,Experiment 1 (no preview)
11,control,hidden_normative_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
11,control,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
12,control,visible,0.8320183851339245,22.0,hard,0.8,0.0,Experiment 1 (no preview)
12,control,hidden,0.5,22.0,hard,0.5,0.0,Experiment 1 (no preview)
12,control,hidden_an,0.5,22.0,hard,0.5555555555555556,1.0,Experiment 1 (no preview)
12,control,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
12,control,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
13,prediction,visible,0.9873828393206613,21.0,easy,1.0,0.0,Experiment 1 (no preview)
13,prediction,hidden,0.8205384805926732,21.0,easy,0.8,0.0,Experiment 1 (no preview)
13,prediction,hidden_an,0.9873828393206613,21.0,easy,,6.0,Experiment 1 (no preview)
13,prediction,hidden_normative_subset,0.617747874769249,21.0,easy,,,Experiment 1 (no preview)
13,prediction,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
14,explanation,visible,0.9002495108803149,21.0,easy,0.8,0.0,Experiment 1 (no preview)
14,explanation,hidden,0.8320183851339245,21.0,easy,0.6,0.0,Experiment 1 (no preview)
14,explanation,hidden_an,0.7824497764231125,21.0,easy,0.6,0.0,Experiment 1 (no preview)
14,explanation,hidden_normative_subset,0.9255320548339719,21.0,easy,,,Experiment 1 (no preview)
14,explanation,hidden_an_subset,0.8928319295134718,21.0,easy,,,Experiment 1 (no preview)
15,explanation,visible,0.5793242521487494,22.0,hard,0.6,0.0,Experiment 1 (no preview)
15,explanation,hidden,0.5,22.0,hard,0.5,0.0,Experiment 1 (no preview)
15,explanation,hidden_an,0.6984652160025387,22.0,hard,0.5,0.0,Experiment 1 (no preview)
15,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
15,explanation,hidden_an_subset,0.7613327148429104,22.0,hard,,,Experiment 1 (no preview)
16,prediction,visible,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
16,prediction,hidden,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
16,prediction,hidden_an,0.5,22.0,hard,0.375,2.0,Experiment 1 (no preview)
16,prediction,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
16,prediction,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
17,prediction,visible,0.7464939833376623,22.0,hard,0.7,0.0,Experiment 1 (no preview)
17,prediction,hidden,0.9820137900379085,22.0,hard,0.7142857142857143,3.0,Experiment 1 (no preview)
17,prediction,hidden_an,0.9873828393206613,22.0,hard,,6.0,Experiment 1 (no preview)
17,prediction,hidden_normative_subset,0.9753975715972606,22.0,hard,,,Experiment 1 (no preview)
17,prediction,hidden_an_subset,0.9873828393206613,22.0,hard,,,Experiment 1 (no preview)
18,explanation,visible,0.5,22.0,hard,0.3,0.0,Experiment 1 (no preview)
18,explanation,hidden,0.6637386974043527,22.0,hard,0.6,0.0,Experiment 1 (no preview)
18,explanation,hidden_an,0.6547534606063191,22.0,hard,0.5555555555555556,1.0,Experiment 1 (no preview)
18,explanation,hidden_normative_subset,0.5199893401555817,22.0,hard,,,Experiment 1 (no preview)
18,explanation,hidden_an_subset,0.5299640517645717,22.0,hard,,,Experiment 1 (no preview)
19,prediction,visible,0.598687660112452,22.0,hard,0.6,0.0,Experiment 1 (no preview)
19,prediction,hidden,0.5,22.0,hard,0.3,0.0,Experiment 1 (no preview)
19,prediction,hidden_an,0.5,22.0,hard,0.5,4.0,Experiment 1 (no preview)
19,prediction,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
19,prediction,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
20,prediction,visible,0.9873828393206613,21.0,easy,0.9,0.0,Experiment 1 (no preview)
20,prediction,hidden,0.8581489350995122,21.0,easy,0.75,2.0,Experiment 1 (no preview)
20,prediction,hidden_an,0.973403006423134,21.0,easy,,6.0,Experiment 1 (no preview)
20,prediction,hidden_normative_subset,0.6726070170677604,21.0,easy,,,Experiment 1 (no preview)
20,prediction,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
21,prediction,visible,0.5299640517645717,22.0,hard,0.5,0.0,Experiment 1 (no preview)
21,prediction,hidden,0.7957596977159082,22.0,hard,0.7,0.0,Experiment 1 (no preview)
21,prediction,hidden_an,0.6984652160025387,22.0,hard,0.7142857142857143,3.0,Experiment 1 (no preview)
21,prediction,hidden_normative_subset,0.8205384805926732,22.0,hard,,,Experiment 1 (no preview)
21,prediction,hidden_an_subset,0.6364525402815663,22.0,hard,,,Experiment 1 (no preview)
22,control,visible,0.7539887164489482,21.0,easy,0.8,0.0,Experiment 1 (no preview)
22,control,hidden,0.6547534606063191,21.0,easy,0.7,0.0,Experiment 1 (no preview)
22,control,hidden_an,0.6984652160025387,21.0,easy,0.6,0.0,Experiment 1 (no preview)
22,control,hidden_normative_subset,0.8205384805926732,21.0,easy,,,Experiment 1 (no preview)
22,control,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
